PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jaren Jackson,WAS,29,3,0,3,3.5,0,0,0,0,0,0,0,0,0.7,0,0.3,0.3,0.7,0.3,0.7,0,0,2.3,0.6,0,0,-1.3
Theo Ratliff,DET,24,3,1,2,5.8,2.7,1,1.3,75,0,0,0,0.7,1.3,50,0.7,0.7,1.3,0.3,1,0.3,1.3,1.7,8.8,0,0,-1.3
Gerald Wilkins,ORL,33,5,2,3,28.6,9.4,3.2,9,35.6,0.6,1.8,33.3,2.4,2.8,85.7,0.6,1.2,1.8,0.8,0.6,0,0.4,1.4,13.4,0,0,-1.4
Rick Mahorn,DET,38,2,0,2,9,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,2.5,0.6,0,0,-1.5
Robert Parish,CHI,43,2,1,1,9.1,1,0.5,3.5,14.3,0,0,0,0,0,0,1,1,2,0,0,0,1.5,1,7.9,0,0,-1.5
Corie Blount,LAL,28,3,3,0,2.7,1,0.3,0.3,100,0,0,0,0.3,0.7,50,0,0.7,0.7,0.3,0,0,0,0.7,2.3,0,0,-1.7
Shandon Anderson,UTA,23,18,11,7,16.4,4.6,1.6,3.7,43.9,0.3,0.7,41.7,1.1,1.6,71.4,1.1,1.6,2.7,0.7,0.7,0.6,0.1,1.6,10.2,0,0,-1.7
Alan Henderson,ATL,24,10,4,6,13.6,5.8,1.9,3.4,55.9,0,0,0,2,2.6,76.9,1.1,2.2,3.3,0,0.7,0.1,0.3,2.6,10.3,0,0,-1.7
Steven Smith,ATL,28,10,4,6,42,18.9,5.5,13.9,39.6,1.8,5.5,32.7,6.1,7.4,82.4,1.2,2.7,3.9,1.7,2.8,0.4,0.1,3.9,24.8,0,0,-1.7
Jamal Mashburn,MIA,24,17,8,9,32.8,10.5,3.8,9.9,38.7,1.3,3.6,35.5,1.5,2.4,65,1.3,3.6,4.9,2.1,1.8,1,0.1,3.4,21.1,0,0,-1.7
David Wingate,SEA,33,12,6,6,16,6.4,2.3,5.5,42.4,1,2.6,38.7,0.8,1.1,69.2,1.1,2,3.1,1.2,0.8,0.4,0.3,1.8,13.1,1,0,-1.8
Rasheed Wallace,POR,22,4,1,3,37.3,19.8,8.3,14,58.9,0.5,1.3,40,2.8,5,55,2,4,6,1.5,1.5,0.5,0.5,4.3,30.7,0,0,-1.8
Voshon Lenard,MIA,24,17,8,9,32.2,11.4,3.7,9.1,40.6,2.1,5.4,39.6,1.9,2.2,86.5,0.7,2.2,2.9,2.1,1.8,0.6,0.2,2.9,18.8,0,0,-1.8
Ed Pinckney,MIA,34,2,2,0,3.1,2,1,1.5,66.7,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2.8,0,0,-2
Wesley Person,PHX,26,5,2,3,32.6,15.6,5,10.6,47.2,2.8,6.6,42.4,2.8,3.6,77.8,1,5.6,6.6,1.2,0.8,0.8,0.6,1,28.7,2,0,-2
Stephen Howard,UTA,26,5,3,2,2.9,1.8,0.6,1.2,50,0,0,0,0.6,0.8,75,0,0.2,0.2,0,0,0.2,0,0.4,2.6,0,0,-2.2
Greg Foster,UTA,28,20,13,7,15.3,4.2,1.4,3.6,38.9,0.1,0.4,25,1.3,1.5,86.7,0.8,2.1,2.8,0.6,0.6,0.2,0.4,2.7,9.5,0,0,-2.3
Stacey Augmon,POR,28,4,1,3,8.9,1.8,0.5,1.5,33.3,0,0,0,0.8,1,75,0.3,0,0.3,0.8,0.3,0.3,0,1.5,3.7,0,0,-2.3
Eddie Johnson,HOU,38,16,9,7,17.7,8.3,3,7.3,41,0.9,2.9,29.8,1.4,1.5,95.8,0.9,1.3,2.3,0.6,0.4,0.3,0,1.1,12.5,0,0,-2.5
Mike Brown,PHX,33,4,1,3,6.6,2.8,0.5,1.3,40,0,0,0,1.8,2,87.5,0.5,0.5,1,0.3,0.3,0,0,1.5,4.1,0,0,-2.5
Ivano Newbill,ATL,26,3,1,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0,0,0.7,0.6,0,0,-2.7
Nick Van Exel,LAL,25,9,4,5,39.3,14.4,5,13.2,37.8,1.3,4.9,27.3,3.1,3.8,82.4,0.7,2.8,3.4,6.4,2,1.1,0,2.1,29.6,1,0,-2.8
Willie Anderson,MIA,30,9,5,4,13.2,3.7,1.2,3.3,36.7,0.2,0.9,25,1,1.1,90,0.2,1.7,1.9,0.6,1.3,0.4,0.2,2.2,7.4,0,0,-2.8
Tyrone Corbin,ATL,34,10,4,6,36.5,10.6,4.2,9.2,45.7,1.3,3.7,35.1,0.9,0.9,100,1.2,3.1,4.3,2,1.4,0.4,0.2,2.9,19.2,0,0,-2.8
Henry James,ATL,31,8,3,5,5.6,1,0.4,1.6,23.1,0.3,0.8,33.3,0,0,0,0.1,0,0.1,0.3,0.5,0.1,0,1.5,1.4,0,0,-2.9
Cherokee Parks,MIN,24,1,0,1,11.4,4,2,3,66.7,0,0,0,0,0,0,0,5,5,0,0,1,0,5,13,0,0,-3
Chris Carr,MIN,23,1,0,1,8.3,0,0,2,0,0,2,0,0,0,0,0,2,2,1,1,0,0,0,2.9,0,0,-3
Gary Trent,POR,22,4,1,3,15.6,8,3.3,7.3,44.8,0,0.3,0,1.5,2.8,54.5,1.3,1.8,3,1,1.5,0,0.3,2.8,12.4,0,0,-3
Grant Hill,DET,24,5,2,3,40.7,23.6,9,20.6,43.7,0,0,0,5.6,7.8,71.8,2.6,4.2,6.8,5.4,3.8,0.8,1,2.8,41.5,1,0,-3
Malik Rose,CHH,22,2,0,2,6.1,2,1,2,50,0,0,0,0,0,0,2,0.5,2.5,0.5,1,0,0,1,4.8,0,0,-3
Walter McCarty,NYK,23,2,1,1,1.7,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3.5,0,0,-3
Danny Manning,PHX,31,5,2,3,23.3,13.2,5.2,9,57.8,0,0.6,0,2.8,3,93.3,0.8,5.2,6,1.4,1.6,0.8,1.4,4.2,27.5,1,0,-3.2
Eldridge Recasner,ATL,29,10,4,6,12.1,3.1,1.1,2.6,42.3,0.4,1.1,36.4,0.5,0.8,62.5,0.3,0.8,1.1,0.9,0.7,0.2,0,0.9,5.7,0,0,-3.2
Randy Brown,CHI,29,17,13,4,5.7,1.2,0.5,1.8,30,0,0,0,0.2,0.3,60,0.2,0.4,0.6,0.4,0.2,0.5,0.1,1.3,4,0,0,-3.2
Scott Brooks,NYK,31,4,1,3,1.9,0.8,0.3,0.5,50,0,0,0,0.3,0.3,100,0,0,0,0,0,0,0,0,0.8,0,0,-3.3
Glen Rice,CHH,30,3,0,3,45.5,27.7,9.3,19,49.1,2,5.3,37.5,7,7.7,91.3,0.3,3.3,3.7,3.7,1.3,1.3,0.3,3.7,41.2,0,0,-3.3
Nate McMillan,SEA,32,3,1,2,13.3,0,0,0.7,0,0,0.7,0,0,0,0,0.3,1.3,1.7,1,0.7,0.3,0,3.7,3.8,0,0,-3.3
Priest Lauderdale,ATL,23,3,1,2,2.1,0,0,1,0,0,0,0,0,0,0,0.3,0.3,0.7,0,1,0,0,0.3,-0.2,0,0,-3.3
Robert Horry,LAL,26,9,4,5,31.1,6.7,1.9,4.2,44.7,1.3,3.1,42.9,1.6,2,77.8,1.3,4,5.3,1.4,1.2,1.1,0.8,3,19.7,0,0,-3.3
Cedric Ceballos,PHX,27,5,2,3,21.5,6.6,2.2,6.6,33.3,0.6,2.4,25,1.6,1.6,100,1.8,3.4,5.2,0.6,1.6,0.8,0.6,2.4,16.3,0,0,-3.4
Herb Williams,NYK,39,3,1,2,7.3,1.3,0.7,1.7,40,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,1.3,1.7,0,0,-3.7
Chris Childs,NYK,29,10,6,4,32.8,10.4,3.8,8.7,43.7,0.9,2.6,34.6,1.9,2.3,82.6,0.9,4,4.9,5.9,2.8,2,0,3.9,28.3,0,0,-3.7
Rodney Rogers,LAC,26,3,0,3,28.4,10.7,4,9.7,41.4,0.7,3.3,20,2,2.7,75,1,1.3,2.3,2,2.3,1.3,1,4.3,21.1,0,0,-4
John Wallace,NYK,23,4,1,3,10.1,2.5,1,3.8,26.7,0,0.3,0,0.5,0.5,100,0.5,1.3,1.8,1.3,0.5,0.3,0.5,1.5,8.2,0,0,-4.3
Mark Bryant,PHX,32,4,2,2,9,2.8,1,2.5,40,0,0,0,0.8,0.8,100,0.3,0.8,1,0,0.5,0,0,1,3.5,0,0,-4.8
Nick Anderson,ORL,29,5,2,3,26.1,5.6,2.4,7.2,33.3,0.8,3,26.7,0,0.4,0,0.6,5.2,5.8,0.6,1.2,0.6,1.8,1.6,19.5,0,0,-5
